desc_id;episode;split;desc;wymaga_osoby;wymaga_obiektu;wymaga_scenerii;wymaga_ruchu;wymaga_mimiki;complexity;identities
2030001;s02e03;dev;Sitting and working Jim bangs his head at the desk.;1;0;0;1;0;P;Jim
2030002;s02e03;dev;A wide shot of parking space at night with blue and silver car on it.;0;1;1;0;0;P;
2030003;s02e03;dev;Michael takes the bun out of the burger and eats it.;1;1;0;1;0;Z;Michael
2030004;s02e03;dev;Jim throwing paper to cup on the desk.;1;1;0;1;0;P;Jim
2030005;s02e03;dev;Dwight opens sunroof in the car driven by Michael.;1;1;1;1;0;Z;Dwight,Michael
2030007;s02e03;dev;Jim and Toby are playing ball, bouncing it off a wall.;1;1;0;1;0;Z;Jim,Toby
2030008;s02e03;dev;A frame with a photo of two men on the farm.;0;1;1;0;0;Z;
2030009;s02e03;dev;Jim walks up to Stanley, who is sitting, and looks surprised at the conversation they are having.;1;0;0;1;1;Z;Jim,Stanley
2030010;s02e03;dev;Michael runs to one room in the house and spreads his arms.;1;0;1;1;0;Z;Michael
2030011;s02e03;dev;Dwight presses his ear against the white wall.;1;0;0;1;0;P;Dwight
2030012;s02e03;dev;Jim light up the orange candle around other people.;1;1;0;1;0;Z;Jim
2030013;s02e03;dev;Pam hangs a banner with colorful words written on it in the kitchen.;1;1;1;1;0;P;Pam
2030014;s02e03;dev;Jim lights the orange candle while his eyes pop out.;1;1;0;1;1;P;Jim
2030015;s02e03;dev;Jim presents self-made gold and silver medals on the chain to other people.;1;1;0;1;0;Z;Jim
2030016;s02e03;dev;Angela walks through other people to the fridge and takes the bag out of it.;1;1;0;1;0;Z;Angela
2030017;s02e03;dev;Angela holds a cat picture in her hands.;1;1;0;0;0;P;Angela
2030018;s02e03;dev;A man in a suit bends forward near the outdoor doors.;0;0;1;1;0;P;
2030019;s02e03;dev;Jim with the gold medal chain on his neck claps, wave his hands while smiling.;1;1;0;1;1;Z;Jim
2030020;s02e03;dev;Phyllis enters the room and put one foot on white boxes wrapped in yellow stripes.;1;1;0;1;0;Z;Phyllis
2030021;s02e03;dev;Dwight and Michael laugh while sitting on the floor and eating food.;1;1;0;1;1;Z;Dwight,Michael
2030022;s02e03;dev;Phyllis and Kevin race while standing on white boxes wrapped in yellow stripes.;1;1;0;1;0;Z;Phyllis,Kevin
